97.3,97.3,**Lyman γ** Hydrogen,⚛️
102.6,102.6,**Lyman β** Hydrogen,⚛️
121.6,121.6,**Lyman α** Hydrogen,⚛️
157,157,Fluorine (F₂ Excimer-UV),⚛️
184.91,184.91,Hg*,💡
193.3,193.3,**ArF Excimer** laser,⚛️
194.17,194.17,Hg*,💡
210.144,210.144,Bandgap AlN,💎
222,222,Krypton Chloride (KrCl Excimer-UV),⚛️
224.3,224.3,**HeSilver** metal-vapor laser,⚛️
226.22,226.22,Hg*,💡
237.83,237.83,Hg*,💡
244,244,**Argon** ion laser (frequency doubled UV),🔬
248,248,**KrF Excimer** laser,⚛️
248.2,248.2,Hg*,💡
248.6,248.6,**NeCu** metal-vapor laser,⚛️
253.65,253.65,Hg*,💡
253.6517,253.6517,Mercury Line,⚛️
265.2,265.2,Hg*,💡
266,266,Frequency Quadrupled Nd:YAG,🔬
274.146,274.146,Lithium 2S→4P,⚛️
275,275,Absorption maximum of <i>p</i>-Terphenyl,🧬
275.28,275.28,Hg*,💡
278,278,Absorption maximum of Tryptophan,🧬
279.553,279.553,Magnesium II 2p⁶3s²S<sub>1/2</sub>→2p⁶3p²P<sub>3/2</sub> (Mg II k),⚛️
280,316,**Ce:LiSAF** tunable UV laser,💎
280.27,280.27,Magnesium II 2p⁶3s²S<sub>1/2</sub>→2p⁶3p²P<sub>1/2</sub> (Mg II h),⚛️
280.35,280.35,Hg*,💡
285.213,285.213,Magnesium I 3s²¹S₀→3s3p¹P₁ (resonance),⚛️
285.281,285.281,Sodium 3S→5P,⚛️
285.328,285.328,Sodium 3S→5P,⚛️
289.36,289.36,Hg*,💡
296.73,296.73,Hg*,💡
299.444,299.444,Fraunhofer Line Symbol: t Element: Ni,☀️
302.108,302.108,Fraunhofer Line Symbol: T Element: Fe,☀️
302.15,302.15,Hg*,💡
308,308,**XeCl Excimer** laser,⚛️
312.57,312.57,Hg*,💡
313.17,313.17,Hg*,💡
320,320,Absorption maximum of Azobenzol,🧬
323.298,323.298,Lithium 2S→3P,⚛️
325,325,Helium-Cadmium-Laser (HeCd),🔬
330,330,Peak-Emission Wavelength of BM-Terphenyl (Laser Dye),🧬
330.238,330.238,Sodium 3S→4P,⚛️
330.298,330.298,Sodium 3S→4P,⚛️
334.15,334.15,Hg*,💡
335,335,Absorption maximum of Pyrene,🧬
336.112,336.112,Fraunhofer Line Symbol: P Element: Ti+,☀️
336.99,336.99,Ne,💡
337.1,337.1,Nitrogen (N₂)-Laser,🔬
340,340,Absorption maximum of Eu³⁺,🧬
340,340,Peak-Emission Wavelength of PTP (Laser Dye),🧬
341.79,341.79,Ne†,💡
344.77,344.77,Ne†,💡
345.42,345.42,Ne,💡
346.66,346.66,Ne,💡
347.26,347.26,Ne†,💡
349.81,349.81,Ne,💡
350,350,Peak-Emission Wavelength of TMQ (Laser Dye),🧬
350.12,350.12,Ne,💡
350.7,350.7,Krypton-Ion-Laser,🔬
351,351,Xenon Fluoride (XeF Excimer-UV),⚛️
351,351,**Argon** ion laser,🔬
351.52,351.52,Ne,💡
352.05,352.05,Ne†,💡
353,353,Xenon Fluoride (XeF Excimer-UV),⚛️
354.243,354.243,Bandgap GaN,💎
354.243,354.243,Bandgap SnO₂,💎
355,355,Frequency Tripled Nd:YAG (NUV),🔬
355.43,355.43,Ar,💡
356.4,356.4,Krypton-Ion-Laser,🔬
357,357,Peak-Emission Wavelength of BMQ (Laser Dye),🧬
358.121,358.121,Fraunhofer Line Symbol: N Element: Fe,☀️
359,359,Peak-Emission Wavelength of DMQ (Laser Dye),🧬
359.35,359.35,Ne†,💡
360,360,Absorption maximum of POPOP,🧬
360,360,Peak-Emission Wavelength of Butyl-PBD (Laser Dye),🧬
360.02,360.02,Ne,💡
363.37,363.37,Ne,💡
365.02,365.02,Hg*,💡
365.48,365.48,Hg*,💡
366.33,366.33,Hg*,💡
366.53,366.53,Kr,💡
367.96,367.96,Kr,💡
377.34,377.34,Kr,💡
382.044,382.044,**Fraunhofer L** (Fe iron),☀️
383.937,383.937,Magnesium I 3s3p³P→3s3d³D (UV triplet),⚛️
388.9,388.9,**Hζ** (Balmer) Hydrogen,⚛️
389.119,389.119,Rubidium 5S→7P<sub>3/2</sub>,⚛️
389.164,389.164,Rubidium 5S→7P<sub>1/2</sub>,⚛️
393.366,393.366,Calcium II 4s²S<sub>1/2</sub>→4p²P<sub>3/2</sub> (Ca II K Fraunhofer),☀️
394.9,394.9,Ar,💡
396.847,396.847,Calcium II 4s²S<sub>1/2</sub>→4p²P<sub>1/2</sub> (Ca II H Fraunhofer),☀️
397,397,**Hε** (Balmer) Hydrogen,⚛️
400,410,Gallium Nitride (GaN NUV to violet),💎
404.44,404.44,Ar,💡
404.531,404.531,Potassium 4S→5P<sub>3/2</sub>,⚛️
404.66,404.66,Hg*,💡
404.839,404.839,Potassium 4S→5P<sub>1/2</sub>,⚛️
405,410,BlueRay Disk Recorder (e.g. Nichia Laserdiode; GaN),🔬
407.78,407.78,Hg*,💡
407.885,407.885,Strontium II 5s²S<sub>1/2</sub>→5p²P<sub>3/2</sub> (ionic resonance),⚛️
410.175,410.175,**Fraunhofer h** (Hδ hydrogen),☀️
410.2,410.2,**Hδ** (Balmer) Hydrogen,⚛️
415.86,415.86,Ar,💡
416,416,**Krypton** laser,🔬
416.4,416.4,Ar,💡
418.19,418.19,Ar,💡
419.1,419.1,Ar,💡
419.8,419.8,Ar,💡
420.07,420.07,Ar,💡
420.395,420.395,Rubidium 5S→6P<sub>3/2</sub>,⚛️
421.671,421.671,Strontium II 5s²S<sub>1/2</sub>→5p²P<sub>1/2</sub> (ionic resonance),⚛️
421.769,421.769,Rubidium 5S→6P<sub>1/2</sub>,⚛️
422.792,422.792,Calcium I 4s²¹S₀→4s4p¹P₁ (resonance),⚛️
425.12,425.12,Ar,💡
425.94,425.94,Ar,💡
426.63,426.63,Ar,💡
427.22,427.22,Ar,💡
427.4,427.4,Ar,💡
428.3,428.3,Kr,💡
430.01,430.01,Ar,💡
430.774,430.774,**Fraunhofer G** (Fe iron),☀️
430.79,430.79,**Fraunhofer G** (Ca+ calcium),☀️
431.96,431.96,Kr,💡
432,432,Ar,💡
433.36,433.36,Ar,💡
433.92,433.92,Hg*,💡
434,434,**Hγ** (Balmer) Hydrogen,⚛️
434.047,434.047,**Fraunhofer G'** (Hγ hydrogen),☀️
434.52,434.52,Ar,💡
434.75,434.75,Hg*,💡
435.14,435.14,Kr,💡
435.84,435.84,Hg*,💡
436,436,Yb-171 transition,⚛️
436.26,436.26,Kr,💡
437.61,437.61,Kr,💡
438.355,438.355,**Fraunhofer e** (Fe iron),☀️
440,440,Kr,💡
441.6,441.6,**HeCd** metal-vapor laser,🔬
442,442,Helium-Cadmium (HeCd),🔬
442.52,442.52,Kr,💡
442.667,442.667,Calcium I 4s4p³P→3d4s³D (triplet),⚛️
443.8,443.8,perylene in Shpol'skii matrix of <i>n</i>-nonane,🧬
445,465,**InGaN** laser diode,🔬
445.39,445.39,Kr,💡
445.602,445.602,Calcium I 4s4p³P→3d4s³D (triplet),⚛️
446.37,446.37,Kr,💡
450,450,blue laser projector diodes,👁️
450.1,450.1,Xe,💡
450.24,450.24,Kr,💡
452.47,452.47,Xe,💡
454.6,454.6,**Argon** ion laser,🔬
455.54,455.54,Barium II 6s²S<sub>1/2</sub>→6p²P<sub>1/2</sub> (ionic),⚛️
455.658,455.658,Cesium 6S→7P<sub>3/2</sub>,⚛️
457.249,457.249,Magnesium I 3s²¹S₀→3s3p³P₁ (intercombination),⚛️
457.9,457.9,Argon-Ion Laser (8%),🔬
458.28,458.28,Xe,💡
459.45,459.45,Cesium 6S→7P<sub>1/2</sub>,⚛️
460.388,460.388,Lithium 2P→5D,⚛️
460.862,460.862,Strontium I 5s²¹S₀→5s5p¹P₁ (resonance;  blue MOT),⚛️
462.43,462.43,Xe,💡
465.8,465.8,**Argon** ion laser,🔬
466.814,466.814,**Fraunhofer d** (Fe iron),☀️
467,467,Yb-171 transition,⚛️
467.12,467.12,Xe,💡
469.7,469.7,Xe,💡
470.44,470.44,Ne,💡
473,473,**Blue DPSS** laser pointer (Nd:YAG SHG),🔬
473.42,473.42,Xe,💡
476.5,476.5,**Argon** ion laser (blue-green),🔬
480.7,480.7,Xe,💡
482.97,482.97,Xe,💡
484.33,484.33,Xe,💡
486.134,486.134,**Fraunhofer F** (Hβ hydrogen),☀️
488,488,Argon-Ion Laser (20%),🔬
490.133,490.133,Barium II 6s²S<sub>1/2</sub>→6p²P<sub>3/2</sub> (ionic;  Fraunhofer analog),⚛️
491.6,491.6,Hg*,💡
491.65,491.65,Xe,💡
492.32,492.32,Xe,💡
497.282,497.282,Lithium 2P→4D,⚛️
502.83,502.83,Xe,💡
503.78,503.78,Ne,💡
508.04,508.04,Ne,💡
510.6,510.6,**Copper vapor** laser,⚛️
511.65,511.65,Ne,💡
514.5,514.5,Argon-Ion Laser (43%),🔬
514.5,514.5,Ne,💡
516.733,516.733,**Fraunhofer b4** (Mg magnesium),☀️
516.791,516.791,Rubidium 5P→6D,⚛️
516.871,516.871,Magnesium I 3s3p³P→3s4s³S₁ (triplet b₄),⚛️
516.891,516.891,**Fraunhofer b3** (Fe iron),☀️
517.27,517.27,**Fraunhofer b2** (Mg magnesium),☀️
517.408,517.408,Magnesium I 3s3p³P→3s4s³S₁ (triplet b₂),⚛️
518.362,518.362,**Fraunhofer b1** (Mg magnesium),☀️
518.501,518.501,Magnesium I 3s3p³P→3s4s³S₁ (triplet b₁),⚛️
520.39,520.39,Ne,💡
527,532,**Green DPSS** laser pointer (Nd:YVO₄/YAG SHG),🔬
527.039,527.039,**Fraunhofer E2** (Fe iron),☀️
528.7,528.7,**Argon** ion laser,🔬
530.9,530.9,**Krypton** laser,🔬
532,532,Frequency doubled Nd:YAG or Nd:YVO₄,🔬
533.08,533.08,Ne†,💡
534.1,534.1,**Manganese vapor** laser,⚛️
534.11,534.11,Ne†,💡
534.33,534.33,Ne†,💡
540.06,540.06,Ne†,💡
543.5,543.5,**HeNe** laser,🔬
546.07,546.07,Hg*,💡
546.073,546.073,**Fraunhofer e** (Hg mercury/Fe iron),☀️
549.09,549.09,Kr,💡
550,560,Maximal sensitivity of the human eye,👁️
550,550,Lead-Vacancy Center in Diamond,💎
550.07,550.07,Kr,💡
553.7,553.7,Barium I 6s²¹S₀→6s6p¹P₁ (resonance; green),⚛️
553.852,553.852,Barium I adjacent to resonance line,⚛️
554,554,Lead-Vacancy Center in Diamond,💎
556.22,556.22,Kr,💡
557.03,557.03,Kr,💡
558.04,558.04,Kr,💡
561,561,Absorption maximum of Terrylen (room temperature),🧬
564.96,564.96,Kr,💡
565.67,565.67,Ne,💡
567.25,567.25,Kr,💡
567.7,567.7,Helium-Mercury (HeHg)-Laser,🔬
568.2,568.2,**Krypton** laser,🔬
568.263,568.263,Sodium 3P→5S,⚛️
568.382,568.382,Sodium 3P→5S,⚛️
574.83,574.83,Ne,💡
575,575,Zero-Phonon-Line of NV⁰ (defect centers in diamond),💎
576.44,576.44,Ne,💡
576.96,576.96,Hg*,💡
578,578,Terrylene Molecules in <i>p</i>-terphenyl bulk,🧬
578.2,578.2,**Copper vapor** laser,⚛️
579.07,579.07,Hg*,💡
580.45,580.45,Ne,💡
582.02,582.02,Ne,💡
583.29,583.29,Kr,💡
585.25,585.25,Ne,💡
585.925,585.925,Calcium I 4s4p¹P₁→4s3d¹D₂,⚛️
587.09,587.09,Kr,💡
587.5618,587.5618,**Fraunhofer D3/d** (helium),☀️
587.562,587.562,Fraunhofer Line Symbol: D₃ or d Element: He,☀️
587.99,587.99,Kr,💡
588.19,588.19,Ne†,💡
589.1583,589.1583,Sodium D₂ 3S<sub>1/2</sub>→3P<sub>3/2</sub>,⚛️
589.7558,589.7558,Sodium D₁ 3S<sub>1/2</sub>→3P<sub>1/2</sub>,⚛️
590.25,590.25,Ne,💡
593.9,593.9,**HeNe** laser,🔬
594.48,594.48,Ne†,💡
597.55,597.55,Ne†,💡
598.79,598.79,Ne,💡
599.39,599.39,Kr,💡
601.22,601.22,Kr,💡
602,602,germanium-vacancy center (Ge-V) in diamond,💎
603,603,Ne,💡
605.61,605.61,Kr,💡
605.782,605.782,Krypton-86; the meter reference until 1983,⚛️
607.43,607.43,Ne,💡
609.62,609.62,Ne,💡
610.411,610.411,Calcium I 4s4p³P→4s5s³S₁,⚛️
610.479,610.479,Lithium 2P→3D,⚛️
611.8,611.8,**HeNe** laser (red-orange),🔬
612.361,612.361,Calcium I 4s4p³P→4s5s³S₁,⚛️
612.85,612.85,Ne,💡
614.31,614.31,Ne,💡
614.362,614.362,Barium II 5d²D<sub>3/2</sub>→6p²P<sub>1/2</sub> (ionic IR),⚛️
616.357,616.357,Calcium I 4s4p³P→4s5s³S₁,⚛️
616.36,616.36,Ne,💡
